CO2 Levels (ppm),Temperature (°C),Humidity (%),Algae Species,Light Intensity (lux),Nutrient Levels (mg/L),Water pH,Growth Rate (g/m²/day)
562.1780831931537,10.785729642168356,68.52189876925726,Species A,36408.13582595831,49.11602675017083,7.627276118540261,124.94973189569478
965.5000144869413,25.91026028159451,35.048397899702934,Species B,12727.419261716354,32.240201545703385,8.776178196008182,72.8143080624104
812.3957592679835,17.858899526908168,39.69772284567682,Species C,53277.7719036525,22.907455531103345,7.244898628854877,177.4105363257109
719.0609389379256,22.71426727911757,83.91325131162475,Species C,33558.795042210855,11.73603133192691,7.809005690037528,117.69412127726851
409.2130483097055,32.689161848152324,66.3857435795754,Species C,55900.58447665195,46.98573320894384,8.244104678733658,199.0555533258512
409.1961642353418,16.232305728721872,30.55182309699778,Species A,36977.76346758955,46.76462861114638,8.491179439184693,135.1067075912008
340.6585285177396,20.259573075890742,36.08829257196193,Species B,57712.95682809528,20.119606719569646,7.6483670198654305,189.95013605600923
906.3233020424547,28.888778463576216,69.81010614648335,Species B,33843.7198624968,37.8164449242659,8.605228537546774,143.45218856365847
720.7805082202462,15.71995413729056,30.30369503077312,Species B,28248.616976513218,13.01738188359077,8.422294353288494,111.8064459341268
795.6508044572319,11.924497745719824,39.64848308504992,Species C,44722.62180053843,16.648617276370118,6.665589944629665,146.59386577348823
314.40914600706174,17.2437863228442,62.924027361995165,Species A,58502.325108435754,18.67236426345965,6.614653166011582,175.6181005618079
978.936896513396,14.030532181350111,71.5137118615616,Species C,34383.562311723814,21.779757873577196,8.052014211055228,123.54613887791618
882.7098485602952,33.242441308564324,69.11767557015602,Species C,75565.37062989951,49.83325500117483,7.368533520563536,257.35792095469304
448.6373774747933,30.203009489110425,43.45615856763359,Species B,12743.042867295238,37.87700223455259,7.022826977696285,78.13674834322437
427.27747704497045,25.835093912760584,72.73075328085216,Species C,39256.22222009051,25.368073255168795,7.949124836179346,142.63445776705728
428.38315689740364,31.78651475469294,44.23494524980801,Species B,77730.63860641733,39.48402823372077,7.3539080261413625,264.4843597673549
512.9695700716763,30.091801922477863,49.52398188955606,Species A,48358.03182736611,46.610173666764254,7.843158541785176,169.74884406799222
667.3295021425665,14.664251472150896,74.78948430708145,Species B,39642.9659615683,48.34809629631385,7.65029789745893,126.36800205408817
602.3615130494811,32.313974962249446,68.97797394283288,Species A,49796.41986249708,12.314555910308297,7.961915264872884,165.155346299876
503.8603981386293,23.48355604789127,80.95340462965068,Species B,50314.720268065925,25.780871944325195,7.500751222275703,169.5536576786708
728.2970263056657,30.186003879101563,69.4567735380206,Species C,61215.34287097481,14.270242637435375,8.24416893424233,184.63457105912542
397.64570245642926,32.40228249808733,64.0985162001283,Species C,18938.28105957259,23.426402591878528,6.950168180873247,87.68500994721205
504.50125397465274,17.950086874296595,35.62048606968555,Species A,27501.151445127325,16.78719615582262,8.241253665567697,116.98934095398656
556.4532903055842,12.751298113191918,52.06294818356601,Species A,50638.08086407369,35.87393446674895,7.52915303589382,146.37352372315854
619.2489889519252,15.698379063548542,45.91214206090353,Species A,70698.16250468054,25.530735359594885,8.685794012136043,212.6489442910284
849.6231729751095,20.677694715656408,44.63937860274501,Species B,49330.66845006415,19.175789828197985,7.788090137160527,168.49492918546824
439.77164751085184,30.45036914806233,88.38063328514673,Species B,26701.780185323812,20.63751699856956,8.932775873175261,89.19187251996102
659.9641068895281,31.518264581408587,53.58586348000563,Species A,57589.13459301721,24.41380380821073,8.0048384888524,197.25941589060955
714.6901982034296,10.173803263279767,83.5227933106268,Species C,61793.613231316216,20.397994514170506,7.059622664765802,192.6252225138199
332.5152889039984,22.768682564439143,67.86831755983577,Species B,26676.53066827856,28.129633873153242,8.554476592111122,83.33999599985177
725.2813963310068,20.435275078719474,77.6886782124989,Species B,36441.02203234064,11.292638044386019,7.362706569555967,134.16724078910394
419.36688658110404,15.552695261768257,60.15822558631153,Species B,47402.92314713944,21.19054028675783,7.369048036206709,157.04623748926238
345.53611508969567,12.99663418334207,64.61423307758155,Species A,44759.283347815435,26.44826883488745,6.579511703712913,137.46233899795092
964.2198760773333,18.4403792850907,59.55106162913184,Species A,37273.26603534424,34.11127528093194,7.871788273018522,146.5995865492328
975.9424231521915,33.572742597812976,41.71457926788267,Species A,30834.46221565176,20.838305700605197,7.836058759331308,113.96132584177894
865.8781436815228,18.080073300518883,73.34712691569032,Species A,16998.942101330438,15.327405008949988,7.389978710679966,52.0080075342316
513.2296384213595,22.969765543584153,46.846341746451344,Species A,13743.970772315824,13.048015183966527,8.735543157239814,57.609178565978674
368.3704798044687,27.575473972379445,31.45895798588723,Species C,77097.90478182389,47.62127308541534,6.8218709957491095,258.6750911804271
778.9631185585099,19.09074005948235,68.72833775443007,Species C,69300.02008669128,26.66556230953917,7.325248783275389,229.0145090840534
608.1067456177209,34.29455206802402,40.62664076442294,Species A,34843.36333239044,33.246504847233055,7.303956911700072,137.30858164688973
385.42676439134516,34.06118237355278,86.42751506117486,Species B,76976.06195885195,46.76706207342238,6.730726465571865,257.6849529015896
646.6238370778891,16.294557395634104,87.23571462015525,Species A,57373.893309701234,13.309936801412245,7.702863485140733,185.4285493104583
324.0719647806529,22.431212647309636,84.89186341322691,Species C,43776.466474984976,45.06645943703171,8.219461792740208,140.5722929394183
936.5242814551474,17.521957745419243,52.20952201532666,Species C,44511.79604402635,32.0635149017628,7.7791425338681535,146.04591785245447
481.14598712001185,17.12101235943669,30.927396991732046,Species B,15829.908783668176,16.593370445480037,6.8924442067904845,68.51127595443697
763.7655990477874,10.92217368386332,85.69911375526353,Species C,16419.290308093674,26.450204663414763,7.443214913105182,61.51130842084603
518.1977532625876,25.23910834949742,55.69104889903886,Species A,52170.864813078326,41.10409134940902,6.506487560959116,185.16829692145006
664.0476148244676,22.56697558072154,87.99928914262017,Species B,48759.21366420605,29.214803274654187,8.670752767588967,144.17186511561644
682.6971955402958,11.286968781249733,87.81719862535516,Species A,24890.952651696025,49.41144202662017,6.711292519201705,83.23601901972849
429.3981188678689,16.966161605915286,81.1805673280416,Species A,76233.61800171832,25.06955879751763,7.993195205638576,257.44396004259625
978.709239435191,32.70664714916634,47.66693352417514,Species B,64690.72353298418,39.98313199904288,8.965642489667038,228.96785113875308
842.5929763527802,15.98904726667431,53.105863716115515,Species A,17942.52214122136,25.719577959154364,7.8414766149683315,73.03685355053989
957.6492590949324,13.622371802280577,81.06820029101141,Species C,75165.03739811048,43.16656882826058,8.810104397768583,249.48852809266876
926.3791452993541,22.236319006939077,49.01532030937666,Species A,78197.3745974087,32.7632587666299,7.090291332793511,278.70969972973927
718.5299851677596,34.641261352765014,40.16956480116555,Species B,79715.18694212304,12.540473183600053,8.399888522343964,282.12312493390294
945.3119645161818,16.05138178778751,63.40807574750101,Species B,13910.980827414503,11.472874705439654,7.828164384933835,39.370312814510974
361.94475143634367,26.803388685146963,86.16928644964686,Species B,61592.48897537062,15.354084752025328,8.301290153478663,184.1474854977955
437.18800369340164,29.04049038321794,71.76178780049838,Species A,48214.103911549224,10.546878593079892,6.655853406278103,142.3335273462489
331.65910223737666,15.940938599809993,64.2036702053619,Species B,59408.20387150862,13.014362414098493,6.8693477297655665,178.22309850968549
527.731231534285,28.20540871529649,35.83058962624611,Species B,77805.63607818945,37.668575886756486,6.832792321468696,257.2967741088088
572.0741027826374,19.194578317981332,66.90043360195018,Species A,58162.10071225274,31.373851001178522,8.217913763508328,191.8092106042939
489.94432224172715,25.807645764839485,89.4032310062558,Species C,68587.47119661617,39.99642997879887,8.611101681584072,207.3198551579472
880.1162564063505,25.838242769022365,38.405040914191446,Species A,70680.80937175889,46.526630090305716,8.374040580021468,220.55401572680228
549.7273286855125,23.394367101868962,61.0997791418242,Species B,68693.65346347896,33.40598129301888,6.576180381833986,216.1987217030933
496.65415678116653,12.257244251360207,82.64238431567733,Species B,39826.40325328588,39.04483376287392,8.668037452686807,139.28081443040261
679.887258210774,30.88256238973095,74.44611706525227,Species A,25580.349229972137,40.28324808169823,7.385366676982814,110.4968684936405
398.64695748233385,18.019501624293397,71.82094445971609,Species C,37765.61213679763,25.114021971031455,7.492909581260206,141.19201533897447
861.5378865278278,14.662962759996356,72.14904503922656,Species B,72432.78361437436,19.643393293185273,6.7621729163312025,229.63568273386284
352.1854505758396,11.019378538869098,51.56946907318531,Species B,20262.337518441782,18.201813140260995,8.343513015234548,76.58350695515301
990.8208556203621,24.772323579706047,47.6155106558696,Species B,45932.831808467505,20.057697580471938,6.955709696189895,169.44180383246317
840.5713385076602,26.93910904605706,78.56166932871082,Species A,26325.96506971695,20.989271881036352,7.9099127300470915,92.22626023386596
439.1009770739207,10.414695723196404,78.60680368075084,Species B,50691.379205874764,18.28910596032226,8.601774964694828,161.34808488925574
303.8654819865217,22.802326457482025,82.02433911480622,Species C,70419.69653923027,45.12882669916769,6.72301082178014,233.10929035174746
870.8229999183839,15.662394379948449,84.79443315338827,Species B,71625.19780468917,40.27996528688915,7.838338910038809,221.89999417441337
794.800140693332,26.129319760236246,60.68054393165627,Species B,26567.963557745512,11.875858711648796,7.083041028874503,113.44463102052654
810.3050176286911,14.359160725124786,60.090977681231976,Species C,73538.55944439824,20.746899281012293,7.357317160695651,233.65046813292304
839.889242680162,27.273443452561647,77.89771073800651,Species B,51432.2117174899,10.887389681212065,7.6849248535763905,171.59030844946065
351.83125621386324,19.668383657513434,68.99783584666591,Species A,34515.27726902194,29.926607465835716,7.387760758198262,106.51046030704049
550.9260099809908,33.418249718418366,72.11801263546221,Species A,59572.683690823986,29.048427871560566,8.12205710072894,191.7400583834816
381.1083416675908,13.438023603649832,77.74756016616607,Species A,43716.68915748807,43.25485960250005,7.698955254385625,120.59123258652838
904.1723981129155,18.52665877625646,83.40032050905398,Species C,36459.131308557815,22.311089590841977,7.960498711785423,124.35619192637995
736.3086887792906,12.836838031014727,50.27970941109215,Species B,59355.90550076619,42.655429408522494,8.342056188487282,220.40922944261382
531.6286173968545,33.11734045696407,52.53497715839664,Species A,27410.690810120155,48.718950617592924,7.894355664876094,98.41112675944507
344.49084520021654,31.933483834524527,35.63891639045214,Species C,33117.6770313369,13.536328934625864,7.966338586651897,147.67002489270484
517.6876252009636,16.44854069287889,64.69680845977044,Species B,40411.629114179,41.67271357878532,7.911146356306603,150.6434084368902
527.628325418723,26.499601150854478,32.156536427804525,Species C,27757.75217111971,33.598235885505446,7.4469315648782235,100.56744606752315
810.7243248366449,30.430555005030396,57.93588108794761,Species A,38364.146074699194,29.201838680739005,7.343617084679796,138.7343856505211
746.2902299486492,23.880020289986557,62.5586780824546,Species A,50003.111764350746,26.821431146603004,8.74911849286253,167.1696630794578
921.0489198034286,23.24126445890016,47.192475127697065,Species A,61868.17026374678,41.38673055777238,8.018888055733932,227.0553705514866
630.5504476133644,16.046307272511292,65.44999563414065,Species C,63703.63971760002,35.5744542789697,7.110882888661636,211.17962585874884
383.7159721568112,12.32756919514748,31.830014996342967,Species C,67595.32463136852,42.20178670077448,7.74561924462235,229.86401453998616
799.2713510560965,32.43039394883317,32.24089132495286,Species A,62094.81598603086,46.12604234706505,7.325871203202285,220.07519623360136
832.5495340318282,32.51045142908326,79.3560336395795,Species C,57672.75989678363,34.69054848389168,8.834229559399686,195.48178187208504
692.8940382986474,25.827536431831696,51.61143848467577,Species A,26625.452990472895,49.21850900369512,6.518835907835187,107.6658591732996
839.6770259681927,18.475744776217518,37.623630759113084,Species A,38015.602501041736,34.323513981675404,7.06333199428132,130.71434753261886
645.6569174550735,18.73023936531652,61.334595603288264,Species B,43440.04236161594,35.465772864891306,7.413392049185144,132.5794705199973
665.9129805673958,28.148891971755983,76.19961318591665,Species C,15802.392518534796,32.192624341689026,7.719524502021844,75.09620265646899
599.2787128509847,32.42775649881443,42.949261649810595,Species A,46985.90849080464,13.640083642053211,8.627043794590366,146.5858369303297
317.79338872086663,32.177160606627936,67.37342854914002,Species A,40543.50821245892,39.05588130600913,6.71971906135036,139.28253046623547
375.5239988953131,29.496888646440595,35.12084789962608,Species C,66147.64743187139,31.89785227596446,8.514662216852859,215.41546939686367
